category,weak,strong,delta,logit_weight
Aromatic C,0.3954176276604943,0.2857268639905636,-0.10969076366993075,0.8654861195189083
Aliphatic C,0.3595689046078963,0.5527628889042697,0.1931939842963734,-1.9027795512329084
N,0.06326198962334792,0.028079547647066713,-0.035182441976281204,1.8256546712709467
O,0.15499759638997024,0.11018404995426173,-0.04481354643570851,0.3694831494035674
S,0.006125023280084424,0.007945024150885889,0.0018200008708014652,-0.978786093205328
Halogen,0.019862896207020832,0.015301624852952169,-0.004561271354068664,-0.36490390040832177
H-bond donor,0.10792661860848668,0.05515837651476463,-0.05276824209372205,3.1430539619447297
H-bond acceptor,0.21825958601331832,0.13826359760132842,-0.0799959884119899,2.1951378206745105
Ring atom,0.4893109848314535,0.5901419488271327,0.10083096399567915,-1.2065654041198575
Non-ring atom,0.510689014668547,0.4098580506728671,-0.10083096399567987,1.1376924157522605
