held_out_CD,seed,n_ext,n_strong,n_fuzzy,AUROC,Pearson
alpha,42,499,7,417,0.643,0.184
alpha,43,499,7,417,0.704,0.184
alpha,44,499,7,417,0.722,0.16
alpha,45,499,7,417,0.415,0.177
alpha,46,499,7,417,0.711,0.121
alpha,47,499,7,417,0.607,0.144
alpha,48,499,7,417,0.666,0.129
alpha,49,499,7,417,0.569,0.148
alpha,50,499,7,417,0.623,0.146
alpha,51,499,7,417,0.704,0.198
beta,42,489,66,1147,0.94,0.423
beta,43,489,66,1147,0.918,0.458
beta,44,489,66,1147,0.888,0.366
beta,45,489,66,1147,0.907,0.453
beta,46,489,66,1147,0.923,0.366
beta,47,489,66,1147,0.841,0.361
beta,48,489,66,1147,0.906,0.418
beta,49,489,66,1147,0.827,0.494
beta,50,489,66,1147,0.85,0.46
beta,51,489,66,1147,0.917,0.43
gamma,42,162,19,159,0.894,0.531
gamma,43,162,19,159,0.894,0.531
gamma,44,162,19,159,0.902,0.484
gamma,45,162,19,159,0.919,0.527
gamma,46,162,19,159,0.881,0.498
gamma,47,162,19,159,0.886,0.424
gamma,48,162,19,159,0.918,0.558
gamma,49,162,19,159,0.827,0.525
gamma,50,162,19,159,0.861,0.552
gamma,51,162,19,159,0.863,0.493
HP-beta,42,48,5,127,0.991,0.457
HP-beta,43,48,5,127,0.93,0.363
HP-beta,44,48,5,127,0.991,0.422
HP-beta,45,48,5,127,1.0,0.386
HP-beta,46,48,5,127,0.66,0.236
HP-beta,47,48,5,127,0.823,0.277
HP-beta,48,48,5,127,0.953,0.272
HP-beta,49,48,5,127,1.0,0.307
HP-beta,50,48,5,127,1.0,0.449
HP-beta,51,48,5,127,0.916,0.28
