atom_index_1based,atom_symbol,attention_max,attention_norm
1,O0,0.96544254,0.96544254
2,C1,0.8648165,0.8648165
3,C2,0.92435217,0.92435217
4,O3,0.9972201,0.9972201
5,C4,0.9995998,0.9995998
6,O5,1.0,1.0
7,C6,0.96060246,0.96060246
8,C7,0.9243527,0.9243527
9,C8,0.86481756,0.86481756
10,O9,0.96544254,0.96544254
11,O10,0.9972201,0.9972201
12,C11,0.9995998,0.9995998
13,O12,1.0,1.0
14,C13,0.96060246,0.96060246
15,C14,0.9243527,0.9243527
16,C15,0.86481756,0.86481756
17,O16,0.96544254,0.96544254
18,O17,0.9972201,0.9972201
19,C18,0.9995998,0.9995998
20,O19,1.0,1.0
21,C20,0.96060246,0.96060246
22,C21,0.9243527,0.9243527
23,C22,0.86481756,0.86481756
24,O23,0.96544254,0.96544254
25,O24,0.9972201,0.9972201
26,C25,0.9995998,0.9995998
27,O26,1.0,1.0
28,C27,0.96060246,0.96060246
29,C28,0.9243527,0.9243527
30,C29,0.86481756,0.86481756
31,O30,0.96544254,0.96544254
32,O31,0.9972201,0.9972201
33,C32,0.9995998,0.9995998
34,O33,1.0,1.0
35,C34,0.96060246,0.96060246
36,C35,0.9243527,0.9243527
37,C36,0.86481756,0.86481756
38,O37,0.96544254,0.96544254
39,O38,0.9972201,0.9972201
40,C39,0.9995998,0.9995998
41,O40,1.0,1.0
42,C41,0.96060246,0.96060246
43,C42,0.9243527,0.9243527
44,C43,0.86481756,0.86481756
45,O44,0.96544254,0.96544254
46,O45,0.9972201,0.9972201
47,C46,0.9995998,0.9995998
48,O47,1.0,1.0
49,C48,0.96060246,0.96060246
50,C49,0.89171946,0.89171946
51,O50,0.99520105,0.99520105
52,C51,0.9008272,0.9008272
53,O52,0.9876962,0.9876962
54,C53,0.9008272,0.9008272
55,O54,0.9876962,0.9876962
56,C55,0.89171946,0.89171946
57,O56,0.99520105,0.99520105
58,C57,0.9008272,0.9008272
59,O58,0.9876962,0.9876962
60,C59,0.89171946,0.89171946
61,O60,0.99520105,0.99520105
62,C61,0.9008272,0.9008272
63,O62,0.9876962,0.9876962
64,C63,0.89171946,0.89171946
65,O64,0.99520105,0.99520105
66,C65,0.9008272,0.9008272
67,O66,0.9876962,0.9876962
68,C67,0.89171946,0.89171946
69,O68,0.99520105,0.99520105
70,C69,0.9008272,0.9008272
71,O70,0.9876962,0.9876962
72,C71,0.89171946,0.89171946
73,O72,0.99520105,0.99520105
74,C73,0.9008272,0.9008272
75,O74,0.9876962,0.9876962
76,C75,0.89171946,0.89171946
77,O76,0.99520105,0.99520105
