seed,BAN_test_AUROC,BAN_fuzzy_Pearson,BAN_fuzzy_Kendall,NoBAN_test_AUROC,NoBAN_fuzzy_Pearson,NoBAN_fuzzy_Kendall
42,0.966,-0.371,-0.206,0.975,-0.392,-0.217
43,0.959,-0.361,-0.192,0.982,-0.402,-0.232
44,0.954,-0.364,-0.196,0.982,-0.393,-0.209
45,0.85,-0.329,-0.144,0.971,-0.369,-0.202
46,0.976,-0.364,-0.206,0.946,-0.413,-0.234
47,0.861,-0.352,-0.206,0.979,-0.398,-0.221
48,0.971,-0.389,-0.219,0.971,-0.391,-0.229
49,0.974,-0.353,-0.199,0.979,-0.386,-0.213
50,0.961,-0.378,-0.206,0.956,-0.382,-0.23
51,0.856,-0.322,-0.187,0.964,-0.383,-0.18
