atom_index,attention_max,attention_mean
1,0.96544254,0.7185408
2,0.8648165,0.63059396
3,0.92435217,0.67926884
4,0.9972201,0.7408154
5,0.9995998,0.704261
6,1.0,0.7259019
7,0.96060246,0.67642367
8,0.9243527,0.67926896
9,0.86481756,0.6305941
10,0.96544254,0.7185408
11,0.9972201,0.74081534
12,0.9995998,0.7042609
13,1.0,0.7259019
14,0.96060246,0.67642367
15,0.9243527,0.67926896
16,0.86481756,0.6305941
17,0.96544254,0.7185408
18,0.9972201,0.74081534
19,0.9995998,0.7042609
20,1.0,0.7259019
21,0.96060246,0.67642367
22,0.9243527,0.67926896
23,0.86481756,0.6305941
24,0.96544254,0.7185408
25,0.9972201,0.74081534
26,0.9995998,0.7042609
27,1.0,0.7259019
28,0.96060246,0.67642367
29,0.9243527,0.67926896
30,0.86481756,0.6305941
31,0.96544254,0.7185408
32,0.9972201,0.74081534
33,0.9995998,0.7042609
34,1.0,0.7259019
35,0.96060246,0.67642367
36,0.9243527,0.67926896
37,0.86481756,0.6305941
38,0.96544254,0.7185408
39,0.9972201,0.74081534
40,0.9995998,0.7042609
41,1.0,0.7259019
42,0.96060246,0.67642367
43,0.9243527,0.67926896
44,0.86481756,0.6305941
45,0.96544254,0.7185408
46,0.9972201,0.74081534
47,0.9995998,0.7042609
48,1.0,0.7259019
49,0.96060246,0.67642367
50,0.9243527,0.67926896
51,0.86481756,0.6305941
52,0.96544254,0.7185408
53,0.9972201,0.74081534
54,0.9995998,0.7042609
55,1.0,0.7259021
56,0.96060246,0.67642355
57,0.89171946,0.6174147
58,0.99520105,0.7421577
59,0.9008272,0.62106335
60,0.9876962,0.7363663
61,0.9008272,0.62106335
62,0.9876962,0.73636633
63,0.89171946,0.6174146
64,0.99520105,0.74215764
65,0.9008272,0.62106335
66,0.9876962,0.73636633
67,0.89171946,0.6174146
68,0.99520105,0.74215764
69,0.9008272,0.62106335
70,0.9876962,0.73636633
71,0.89171946,0.6174146
72,0.99520105,0.74215764
73,0.9008272,0.62106335
74,0.9876962,0.73636633
75,0.89171946,0.6174146
76,0.99520105,0.74215764
77,0.9008272,0.62106335
78,0.9876962,0.73636633
79,0.89171946,0.6174146
80,0.99520105,0.74215764
81,0.9008272,0.62106335
82,0.9876962,0.73636633
83,0.89171946,0.6174146
84,0.99520105,0.74215764
85,0.9008272,0.62106335
86,0.9876962,0.73636633
87,0.89171946,0.6174146
88,0.99520105,0.74215764
