Drug,CD,DL_label,z_bin,Coformer,Category,logP,K_binary,K_ternary,K_ratio,ddG_kJmol,calib_valid,model,usable,usable_note
Naproxen,α-CD,Fuzzy-Weak,0.9385,Nicotinamide,hydrotrope,0.18,288.8,1315.7,4.56,-3.76,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,Succinic acid,organic acid,-0.064,288.8,1291.1,4.47,-3.71,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,L-Proline,amino acid,-0.177,288.8,1279.9,4.43,-3.69,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,L-Lysine,amino acid,-0.473,288.8,1251.1,4.33,-3.63,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,L-Histidine,amino acid,-0.636,288.8,1235.4,4.28,-3.6,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,Glycine,amino acid,-0.97,288.8,1203.9,4.17,-3.54,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,Urea,hydrotrope,-0.976,288.8,1203.4,4.17,-3.54,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,Caffeine,hydrotrope,-1.029,288.8,1198.5,4.15,-3.53,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,L-Arginine,amino acid,-1.338,288.8,1170.2,4.05,-3.47,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,L-Glutamine,amino acid,-1.336,288.8,1170.4,4.05,-3.47,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,Triethanolamine,amine,-1.735,288.8,1135.0,3.93,-3.39,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,Citric acid,organic acid,-1.888,288.8,1121.7,3.88,-3.36,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,Tartaric acid,organic acid,-2.123,288.8,1101.5,3.81,-3.32,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,Tromethamine,buffer amine,-2.339,288.8,1083.3,3.75,-3.28,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,Meglumine,sugar amine,-3.619,288.8,981.4,3.4,-3.03,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,HPMC E5,polymer,polymer,288.8,1181.0,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,HPMC K15M,polymer,polymer,288.8,1181.0,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,PVP K30,polymer,polymer,288.8,1181.0,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,PEG 4000,polymer,polymer,288.8,1181.0,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,α-CD,Fuzzy-Weak,0.9385,Poloxamer 188,polymer,polymer,288.8,1181.0,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,Nicotinamide,hydrotrope,0.18,356.3,1623.6,4.56,-3.76,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,Succinic acid,organic acid,-0.064,356.3,1593.2,4.47,-3.71,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,L-Proline,amino acid,-0.177,356.3,1579.4,4.43,-3.69,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,L-Lysine,amino acid,-0.473,356.3,1543.8,4.33,-3.63,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,L-Histidine,amino acid,-0.636,356.3,1524.5,4.28,-3.6,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,Glycine,amino acid,-0.97,356.3,1485.7,4.17,-3.54,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,Urea,hydrotrope,-0.976,356.3,1485.0,4.17,-3.54,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,Caffeine,hydrotrope,-1.029,356.3,1478.9,4.15,-3.53,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,L-Arginine,amino acid,-1.338,356.3,1444.0,4.05,-3.47,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,L-Glutamine,amino acid,-1.336,356.3,1444.3,4.05,-3.47,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,Triethanolamine,amine,-1.735,356.3,1400.6,3.93,-3.39,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,Citric acid,organic acid,-1.888,356.3,1384.1,3.88,-3.36,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,Tartaric acid,organic acid,-2.123,356.3,1359.3,3.81,-3.32,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,Tromethamine,buffer amine,-2.339,356.3,1336.7,3.75,-3.28,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,Meglumine,sugar amine,-3.619,356.3,1211.0,3.4,-3.03,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,HPMC E5,polymer,polymer,356.3,1457.3,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,HPMC K15M,polymer,polymer,356.3,1457.3,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,PVP K30,polymer,polymer,356.3,1457.3,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,PEG 4000,polymer,polymer,356.3,1457.3,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,β-CD,Fuzzy-Weak,0.8355,Poloxamer 188,polymer,polymer,356.3,1457.3,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Naproxen,γ-CD,Weak (High conf),1.955,Nicotinamide,hydrotrope,0.18,36.3,165.2,4.56,-3.76,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Naproxen,γ-CD,Weak (High conf),1.955,Succinic acid,organic acid,-0.064,36.3,162.1,4.47,-3.71,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Naproxen,γ-CD,Weak (High conf),1.955,L-Proline,amino acid,-0.177,36.3,160.7,4.43,-3.69,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Naproxen,γ-CD,Weak (High conf),1.955,L-Lysine,amino acid,-0.473,36.3,157.1,4.33,-3.63,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
