SMILES,Drug_name
BrBr,Bromine
BrC1=CC=C(Br)C=C1,"1,4-Dibromobenzene"
BrC1=CC=CC=C1,Bromobenzene
BrCC1=CC=CC2=CC=CC=C12,1-(Bromomethyl)naphthalene
C#CC1=CC=CC=C1,Phenylacetylene
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(O)=CC=C4[C@H]3CC[C@@]21C,Ethinylestradiol
C(=C/C1=CC=CC=C1)\CN1CCN(C(C2=CC=CC=C2)C2=CC=CC=C2)CC1,Unknown
C(=CC1=CC=NC=C1)C1=CC=NC=C1,"Pyridine, 4,4'-(1,2-ethenediyl)bis-"
C(=NN=CC1=CC=NC=C1)C1=CC=NC=C1,"1,4-Bis(4-pyridyl)-2,3-diaza-1,3-butadiene"
C/C1=N\C2=CC=CC=C2SC=CCC2=CC=CC=C12,Unknown
C/C=C/C1=CC=C(O)C(OC)=C1,Unknown
C/C=C/C1=CC=C(OC)C=C1,Unknown
C/C=C/C=C/C(=O)O,Unknown
C1=CC(C2=CC=[N+](CCCCCCCCCCCC[N+]3=CC=NC=C3)C=C2)=CC=N1,Unknown
C1=CC(C2=CC=[N+](CCCCCCCCCCC[N+]3=CC=NC=C3)C=C2)=CC=N1,Unknown
C1=CC(C2=CC=[N+](CCCCCCCCCC[N+]3=CC=NC=C3)C=C2)=CC=N1,Unknown
C1=CC(C2=CC=[N+](CCCCCCCCC[N+]3=CC=NC=C3)C=C2)=CC=N1,Unknown
C1=CC2=C3C(=CC=CC3=C1)CC2,Acenaphthene
C1=CC2=CC=C3C=CC=C4C=CC(=C1)C2=C34,Pyrene
C1=CC2=CC=CC3=CC=CC1=C23,Acenaphthylene
C1=CC=C(C/C(=N/NC2=CC=C3C=CC=CC3=N2)C2=CC=CC=N2)C=C1,Unknown
C1=CC=C(C2(N3CCCCC3)CCCCC2)C=C1,Phencyclidine
C1=CC=C(C2=CC=CC=C2)C=C1,Biphenyl
C1=CC=C(C2=CC=CN=C2)C=C1,3-Phenylpyridine
C1=CC=C(C2=CC=NC=C2)C=C1,4-Phenylpyridine
C1=CC=C(C2=CC=NC=N2)C=C1,4-Phenylpyrimidine
C1=CC=C(CC2=CC=NC=C2)C=C1,4-Benzylpyridine
C1=CC=C(CC2=NCCN2)C=C1,Tolazoline
C1=CC=C(CC2CC[NH2+]CC2)C=C1,4-Benzylpiperidin-1-ium
C1=CC=C(CCN2C3=CC=CC=C3SC3=CC=CC=C32)C=C1,10-Phenethyl-10H-phenothiazine
